| 심각도 | 발견 | 근거 | 처리 권장 |
| --- | --- | --- | --- |
| 중간 | M9-5가 HTML 앵커·브라우저 기반 시각 감지 없이 md 직접 파싱만으로 진행된다는 제약 수용이 §8-1에 충분히 명시되어 있지 않다. | §8-1 결정 근거 4, §8-4 다음 단계, 리뷰 초점 축 1 근거 4 | 현 단계 수정 |
| 중간 | "실수요 발생 시 재논의"의 재개 조건과 승인 주체가 비어 있어 향후 docx/pdf/hwpx 또는 외부 공유 요청 발생 시 M9-4 스킵 범위가 다시 흔들릴 수 있다. | §8-1 판정, §8-2 P3, 리뷰 초점 축 2 누락 후보 4 | 현 단계 수정 |
| 낮음 | P2의 "손실 금지" 원칙은 타당하나 향후 파이프라인 설계 시 검증 주체·검증 시점·검증 증거를 함께 정의해야 한다는 연결 문장이 없다. | §8-2 P2, M9-1 ID·M9-3 suffix/status 보존, 리뷰 초점 축 2 누락 후보 5 | M9-5 이관 |
| 낮음 | 파생물 저장 위치·재생성 로그·삭제 권한은 현재 스킵 범위에서는 비쟁점이나, 미래 실수요 재개 시 함께 결정할 항목으로 묶어 두면 P1의 "파생물 직접 편집 금지"가 운영 규칙으로 이어진다. | §8-2 P1·P3, §8-3 후속 이관, 리뷰 초점 축 2 누락 후보 1~3 | M9-5 이관 |
| 없음 | M9-4 전면 스킵 판단은 YAGNI, 대체 경로, md canonical, M9-5 비선결성, 원 로드맵 전제 소멸 근거가 서로 충돌하지 않아 스킵 결정 자체를 반려할 근거는 없다. | §8-1 스코프 결정·결정 근거 1~5, 결정 요지 스킵 근거 5종 | 통과 |
| 없음 | 선행 M 정합상 파생물 도입 보류는 M1 역할 5명·산출물 1:1, M2-5 Task evidence, M2-6 Gate B, M6 파일 소유권 정적 1:1을 깨지 않는다. | 리뷰 초점 축 3 M1·M2-5·M2-6·M6, §8-2 P1 | 수용(조치 불필요) |
| 없음 | §1-7의 M9-4 취소선·스킵 확정 표기는 M9-2-b 확정 패턴과 형식상 정합하며, P2는 I14 ID 불변식을 미래 파생 포맷에도 적용하는 방향으로 선행 M9-2/M9-3과 충돌하지 않는다. | §1-7, §8-2 P2, 리뷰 초점 축 3 M9-1·M9-2/M9-3 I1~I14 | 수용(조치 불필요) |

판정: 통과 — 높음 없음, 중간 2건으로 스킵 결정 자체는 유지 가능하며 두 중간 사항은 §8에 한두 문장 보강하면 M9-5 착수 리스크가 낮아진다.
