# _broadcast.log — mensa-ranking-challenge-v2

---

## [broadcast] WHY·1차 사용자·Must 확정 (부분 broadcast)

| 필드 | 값 |
|------|----|
| type | broadcast |
| timestamp | 2026-05-06 |
| owner | REQ (서비스기획자) |
| target | TR·S·P (후행 영역) |
| 이벤트 ID | E-broadcast-REQ-001 |
| result | confirmed |
| 본문 | WHY(IQ 챌린지 플랫폼 + 응시권 전환 퍼널), 1차 사용자(20~40대 IQ 챌린지 관심 직장인·대학생), Must 5개(챌린지 풀기·점수 산정·랭킹 조회·회원가입·결제) 확정. 후행 영역 부분 진행 시작 가능. |
| evidence_ref | projects/mensa-ranking-challenge-v2/01-prd.md §1·§2·§4 |

---

---

## [broadcast] 기술 스택 확정 + 외부 의존성 1차 (부분 broadcast)

| 필드 | 값 |
|------|----|
| type | broadcast |
| timestamp | 2026-05-06 |
| owner | TR (기술검토자) |
| target | S·P (후행 영역) |
| 이벤트 ID | E-broadcast-TR-001 |
| result | confirmed |
| 본문 | 기술 스택 확정: Next.js 15 + Supabase Auth + PostgreSQL + 포트원 V2 + Vercel. 외부 의존성 1차 확인 완료. REQ-005 결제는 PG사 미확정으로 조건부(포트원 V2 추상 레이어 적용). 카카오 비즈니스앱 전환 필요(최대 2주 심사 지연 리스크). UX기획자·퍼블리셔 부분 진행 시작 가능. |
| evidence_ref | projects/mensa-ranking-challenge-v2/02-tech-review.md §3·§5 |

---

## [self-check] §B M11 v1 — REQ 영역 자가 점검 결과

| 필드 | 값 |
|------|----|
| type | self-check |
| timestamp | 2026-05-06 |
| owner | REQ (서비스기획자) |
| target | 01-prd.md |
| 위반 항목 ID | F-1·F-2·F-3·F-4·F-5·F-6·F-8·M-a·M-d·H-1·H-2·H-5·U-1·U-2·U-3·U-4·U-5 |
| result | pass |
| 사유 | 전 항목 pass. REQ-001~009 ID 정합, 헤더 형식 일치, NA 없음, deprecated 없음, orphan 해당 없음(후행 미작성 단계). 노션 동기화 보류는 PM 결정 사항. |
| evidence_ref | projects/mensa-ranking-challenge-v2/01-prd.md §자가 점검 |

---

## [broadcast] S 확정 broadcast — UX 화면 명세 완료 (퍼블리셔 정식 진입 신호)

| 필드 | 값 |
|------|----|
| type | broadcast |
| timestamp | 2026-05-06 |
| owner | S (UX기획자) |
| target | P (퍼블리셔) |
| 이벤트 ID | E-broadcast-S-001 |
| result | confirmed |
| 본문 | 화면 명세 S-001~S-010 확정(10화면). 정상/빈/에러/로딩 4상태 전 화면 완비. Must 5개(REQ-001~005) + Should 2개(REQ-006~007) 플로우 매핑 완료. 기술검토 broadcast(E-broadcast-TR-001) 반영: PG 추상 컴포넌트(S-008), 멘사 회원 인증 코드 입력 대안(S-009). 퍼블리셔 정식 pages/ 작업 진입 가능. |
| evidence_ref | projects/mensa-ranking-challenge-v2/03-ux-spec.md §1·§2 |

---

## [self-check] §B M11 v1 — S 영역 자가 점검 결과

| 필드 | 값 |
|------|----|
| type | self-check |
| timestamp | 2026-05-06 |
| owner | UX기획자 (S) |
| target | 03-ux-spec.md |
| 위반 항목 ID | F-1·F-2·F-3·F-4·F-5·F-6·F-8·M-b·M-c·M-e·H-1·H-2·H-5·U-1·U-2·U-3·U-4·U-5 |
| result | pass |
| 사유 | 전 항목 pass. S-001~S-010 ID 정합, 독립 시퀀스, 중복 없음. 헤더 형식 `### S-NNN (→ REQ-XXX)` 일치. NA 항목 없음. 전 화면 PRD REQ 참조, orphan 없음. 플로우 끊김 없음. 빈/에러/로딩 4상태 전 화면 완비. §A 4/4. error 0건. |
| evidence_ref | projects/mensa-ranking-challenge-v2/03-ux-spec.md §자가 점검 |

---

## [self-check] §B M11 v1 — TR 영역 자가 점검 결과

| 필드 | 값 |
|------|----|
| type | self-check |
| timestamp | 2026-05-06 |
| owner | TR (기술검토자) |
| target | 02-tech-review.md |
| 위반 항목 ID | F-1·F-2·F-3·F-4·F-5·F-6·F-8·M-b·M-c·M-e·H-1·H-2·H-5·U-1·U-2·U-3·U-4·U-5 |
| result | pass |
| 사유 | 전 항목 pass. Must 5개 전수 평가(REQ-001~005 행 5개 일치). 리스크 7개 전부 완화책+담당자 포함. 공수 3시나리오 낙관 6w/현실 9w/보수 13w 수치화. 외부 의존성 전 행 버전·라이선스·Y/N 명시(PG사 N=미정·오픈 이슈 등록). 모든 Must 판단에 `01-prd.md §4 Must-N` 인용. TR-NNN 헤더 미사용(v1 검토서 구조에서 기능 헤더 없음 — 해당 없음). NA 항목 없음. error 0건. |
| evidence_ref | projects/mensa-ranking-challenge-v2/02-tech-review.md §자가 점검 |
