type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §A WHY | event=WHY_confirmed | result=confirmed | 사유=멘사코리아 기존 사이트에 온라인테스트 첫 페이지 랭킹 챌린지 레이어 추가. 회원 재방문 유도 + 힌트/패스 유료 아이템 수익 모델. 관리자 운영 현황 대시보드 포함. | evidence_ref=_pm-input.md §1-§2
type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §A 1차 사용자 | event=user_confirmed | result=confirmed | 사유=주 사용자: 멘사코리아 기존 로그인 회원 20~40대. 부 사용자: 관리자. 사용자 맥락: 온라인테스트 첫 페이지 랭킹 보고 챌린지 진입 | evidence_ref=_pm-input.md §3 + 01-prd.md §A-2
type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §B REQ-RANK-001-01 | event=REQ_partial | result=confirmed | 사유=REQ-RANK-001-01 (온라인테스트 첫 페이지 랭킹 열람) 16 필드 완성. 도메인=RANK, 경계사례=기존 사이트 삽입 방식 명시 | evidence_ref=01-prd.md §B-1
type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §B REQ-AUTH-001-01~02 | event=REQ_partial | result=confirmed | 사유=REQ-AUTH-001-01 (비로그인 리다이렉트) + REQ-AUTH-001-02 (로그인 후 복귀) NN 2분해 완성. 경계사례=PHP+서버세션+쿠키+동일도메인 mensa.kr 명시 | evidence_ref=01-prd.md §B-2
type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §B REQ-QUIZ-001~004-01 | event=REQ_partial | result=confirmed | 사유=QUIZ 도메인 4 NNN 완성 — 순차풀이/힌트열람/패스아이템/AI취약성대응 각각 독립 Use Case | evidence_ref=01-prd.md §B-3
type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §B REQ-RANK-002~004-01 | event=REQ_partial | result=confirmed | 사유=RANK 점수산정/랭킹등재/결과확인 3 NNN 완성. 특정 로직(시간보너스공식·배점) PM 질의 필요 §D #2·#4 이슈 등재 | evidence_ref=01-prd.md §B-4
type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §B REQ-PAY-001-01~02 | event=REQ_partial | result=confirmed | 사유=REQ-PAY-001-01 (결제) + REQ-PAY-001-02 (지급) NN 2분해 완성. 경계사례=이니시스 PG 명시. v2-0 미분해 격차 정정 | evidence_ref=01-prd.md §B-5
type=broadcast | timestamp=2026-05-08 | owner=REQ | target=PRD §B REQ-ADMIN-001~002-01 | event=REQ_partial | result=confirmed | 사유=ADMIN 현황대시보드 + 비정상기록관리 2 NNN 분리 완성. v2-0 대비 ADMIN-002 분리 — Use Case 분해 정합 | evidence_ref=01-prd.md §B-6
type=self-check | timestamp=2026-05-08 | owner=REQ | target=01-prd.md | 위반 항목 ID=§E 통합 | result=pass | 사유=자동 실패 0/5 + 통과율 7/7 + §B error 0건. PRD 완성 — 후행 완성 산출물 사용 게이트 통과 | evidence_ref=01-prd.md §E-4
type=broadcast | timestamp=2026-05-08 | owner=TR | target=02-tech-review.md §5 외부 의존성 | event=external_deps_identified | result=confirmed | 사유=외부 의존성 1차 식별: 이니시스 PG (기존 연동, 결제창 방식 확인 필요) / Browser Visibility API (탭이탈 감지, 브라우저 내장) / RDB (PostgreSQL 또는 MySQL — PM 확인 필요) / 멘사코리아 기존 인증 시스템 (PHP 세션, 동일 도메인 mensa.kr) / 문제 PNG 정적 파일 (저작권·파일 존재 확인 필요) | evidence_ref=_pm-input.md §13 + v2-0/02-tech-review.md §5
type=broadcast | timestamp=2026-05-08 | owner=TR | target=02-tech-review.md §3 기술 스택 | event=stack_confirmed | result=confirmed | 사유=기술 스택 1차 확정: Frontend=Vanilla JS + PHP 템플릿 (PM 명시 §13) / Backend=PHP 기존 사이트 확장 / PG=이니시스 (기존 연동) / 인프라=기존 멘사코리아 서버. DB(PostgreSQL vs MySQL) + 결제창 방식 미확정 — PM reply 필요 | evidence_ref=_pm-input.md §13 + v2-0/02-tech-review.md §3
type=broadcast | timestamp=2026-05-08 | owner=TR | target=02-tech-review.md §6 공수 | event=effort_scenario_1st | result=confirmed | 사유=공수 1차 시나리오: 낙관 8주 / 현실 12주 / 보수 18주. 설계 1~3주 + 개발 5~11주 + 테스트 1~3주 + 배포 1주. 주요 변수: 32칸 고리형 SVG 공수 + DB 선택 + 오픈 이슈 확정 속도 | evidence_ref=02-tech-review.md §6
type=broadcast | timestamp=2026-05-08 | owner=P | target=04-prototype-mvp/assets/ | event=assets_tokens_confirmed | result=confirmed | 사유=assets/ 골격 확정 (tokens/colors.css·spacing.css·typography.css + css/base.css + css/wireframe.css(M18신설) + js/main.js). ux-planner HTML wireframe 수신 즉시 검토 대기. | evidence_ref=04-prototype-mvp/assets/
type=broadcast | timestamp=2026-05-08 | owner=TR | target=02-tech-review.md §2 전수 평가 | event=req_eval_all_confirmed | result=confirmed | 사유=PRD §B 14건 전수 평가 완료 (RANK 4 + AUTH 2 + QUIZ 4 + PAY 2 + ADMIN 2). 가능 3건(TR-002·TR-005·TR-006) / 조건부 11건. 오픈 이슈 9건. 자가점검 §A 5/5 + §B error 0. | evidence_ref=02-tech-review.md §2 전체 표
type=self-check | timestamp=2026-05-08 | owner=TR | target=02-tech-review.md | 위반 항목 ID=§A 통합 | result=pass | 사유=§A 5/5 + §B error 0건. TR 완성 — 후행 완성 산출물 사용 게이트 통과. 오픈 reply 2건(DB 선택·배점공식) PM 결정 대기 | evidence_ref=02-tech-review.md §A·§B cross-ref 전체
type=broadcast | timestamp=2026-05-08 | owner=TR | target=02-tech-review.md 완성 | event=tr_completed | result=confirmed | 사유=TR 완성 broadcast: 14건 전수 평가 완료. 기술 스택 PHP+JS 확정. DB 미확정(reply-1 발행). 공수 8/12/18주. 후행 UX·P 완성 산출물 사용 게이트 통과. | evidence_ref=02-tech-review.md 자가 점검 §A 5/5 + §B error 0
type=broadcast | timestamp=2026-05-08 | owner=UX | target=UI-Ranking_Widget-01 | event=html_wireframe_issued | result=confirmed | 사유=UI-Ranking_Widget-01 발급 + HTML wireframe 작성 완료. pages/UI-Ranking_Widget-01.html. SSoT 주석 정합. area-num 1~3 마커. REQ-RANK-001-01 매핑 | evidence_ref=03-ux-spec.md §1 + pages/UI-Ranking_Widget-01.html
type=broadcast | timestamp=2026-05-08 | owner=UX | target=UI-Challenge_Intro-01 | event=html_wireframe_issued | result=confirmed | 사유=UI-Challenge_Intro-01 발급 + HTML wireframe 작성 완료. REQ-AUTH-001-01, REQ-AUTH-001-02, REQ-RANK-003-01 매핑. area-num 1~4 | evidence_ref=03-ux-spec.md §1 + pages/UI-Challenge_Intro-01.html
